Time (s),Frame Time (ms)
16.753,0.043
16.8007,0.043
16.8478,0.049
16.8945,0.048
16.9412,0.058
16.9875,0.043
17.0341,0.051
17.0805,0.049
17.1277,0.043
17.1746,0.042
17.2211,0.046
17.2674,0.042
17.3139,0.046
17.3605,0.068
17.4068,0.043
17.4534,0.055
17.5004,0.047
17.5473,0.073
17.5948,0.049
17.6423,0.045
17.6888,0.049
17.7358,0.048
17.7822,0.051
17.8291,0.047
17.8757,0.042
17.9219,0.044
17.97,0.043
18.0176,0.051
18.0644,0.103
18.1133,0.045
18.161,0.044
18.2077,0.057
18.2542,0.043
18.3006,0.043
18.347,0.043
18.3934,0.042
18.4396,0.044
18.4876,0.043
18.5338,0.043
18.5809,0.108
18.6276,0.074
18.6742,0.047
18.7209,0.078
18.7677,0.091
18.8146,0.049
18.8615,0.048
18.9085,0.102
18.9552,0.099
19.0022,0.087
19.0489,0.042
19.0956,0.044
19.1426,0.044
19.1893,0.059
19.2359,0.043
19.2821,0.044
19.3285,0.044
19.3753,0.043
19.4219,0.098
19.4687,0.089
19.5159,0.051
19.5632,0.067
19.6104,0.088
19.6577,0.089
19.7052,0.043
19.7523,0.091
19.7991,0.047
19.8464,0.054
19.893,0.049
19.9403,0.073
19.9869,0.087
20.0334,0.051
