Time (s),Frame Time (ms)
16.705,0.045
16.7522,0.058
16.7994,0.053
16.8468,0.045
16.8939,0.042
16.941,0.044
16.9879,0.043
17.035,0.052
17.0829,0.043
17.1301,0.047
17.1772,0.044
17.2249,0.043
17.2721,0.072
17.3189,0.055
17.3659,0.048
17.4133,0.043
17.4616,0.046
17.5087,0.043
17.5563,0.046
17.6032,0.044
17.6511,0.043
17.6979,0.049
17.7446,0.05
17.7918,0.044
17.8387,0.043
17.8852,0.044
17.9318,0.044
17.9785,0.045
18.0257,0.045
18.0728,0.045
18.1197,0.043
18.1678,0.046
18.2145,0.047
18.2618,0.043
18.3086,0.054
18.3554,0.047
18.4025,0.042
18.4491,0.042
18.4962,0.042
18.5436,0.042
18.5911,0.044
18.6382,0.054
18.6851,0.043
18.7325,0.046
18.7805,0.044
18.8275,0.049
18.8749,0.043
18.9222,0.043
18.9695,0.044
19.0172,0.053
19.0647,0.045
19.1117,0.043
19.159,0.042
19.2071,0.05
19.2542,0.044
19.3016,0.053
19.3487,0.044
19.3952,0.043
19.4429,0.05
19.4902,0.048
19.5373,0.049
19.5847,0.043
19.6322,0.042
19.6795,0.07
19.7267,0.043
19.7736,0.045
19.8206,0.07
19.8678,0.044
19.9162,0.052
19.9631,0.08
20.0096,0.05
20.0563,0.043
20.103,0.051
20.15,0.051
20.197,0.043
20.2445,0.045
20.2919,0.044
20.3391,0.048
20.3859,0.043
20.4331,0.046
20.4798,0.135
20.5268,0.049
20.5734,0.072
20.6202,0.043
20.6672,0.043
20.714,0.048
20.761,0.051
20.808,0.051
20.8547,0.043
20.9014,0.052
20.9484,0.043
20.9951,0.049
21.0417,0.049
21.0889,0.044
21.1359,0.044
21.1826,0.045
21.2304,0.045
21.2769,0.044
21.3237,0.043
21.3704,0.043
21.4173,0.052
21.4642,0.051
21.5104,0.047
21.5569,0.066
21.6043,0.062
21.651,0.044
21.6979,0.068
21.745,0.048
21.7923,0.052
21.8393,0.087
21.8864,0.044
21.9332,0.053
21.9803,0.043
22.0269,0.041
22.0736,0.071
22.1209,0.051
22.1676,0.048
22.2149,0.048
22.2624,0.065
22.3098,0.042
22.3573,0.048
22.4046,0.049
22.4525,0.043
22.4997,0.044
22.5466,0.145
22.5938,0.053
22.6405,0.044
22.6868,0.043
22.7333,0.043
22.7799,0.044
22.8266,0.043
22.8735,0.043
22.9208,0.063
22.968,0.043
23.0148,0.049
23.0622,0.051
23.1092,0.044
23.1561,0.069
23.2037,0.054
23.2506,0.048
23.2975,0.044
23.3448,0.052
23.3921,0.062
23.4391,0.043
23.4861,0.044
23.5331,0.053
23.5803,0.043
23.6276,0.05
23.6746,0.043
23.722,0.049
23.769,0.044
23.8167,0.052
23.8639,0.044
23.9107,0.054
23.9576,0.05
24.0046,0.053
24.0517,0.044
24.0985,0.055
24.1456,0.056
24.1928,0.048
24.2402,0.051
24.2877,0.05
24.3349,0.07
24.3815,0.048
24.4284,0.052
24.4759,0.058
24.5226,0.052
24.5693,0.049
24.6162,0.049
24.663,0.043
24.7095,0.052
24.7558,0.049
24.8027,0.043
24.8495,0.047
24.8965,0.043
24.9439,0.051
24.9913,0.09
25.0379,0.043
25.0848,0.044
25.1318,0.043
25.1784,0.043
25.2247,0.043
25.2717,0.05
25.3185,0.048
25.3658,0.043
25.4129,0.043
25.4609,0.056
25.5083,0.052
25.5549,0.042
25.6019,0.045
25.6496,0.049
25.6963,0.052
25.7432,0.049
25.79,0.044
25.8371,0.047
25.8838,0.045
25.9306,0.05
25.977,0.043
26.0244,0.046
26.0709,0.064
26.1182,0.051
26.1651,0.044
26.2117,0.042
26.2579,0.042
26.3051,0.045
26.3539,0.048
26.4012,0.049
26.4496,0.042
26.4965,0.049
26.5445,0.051
26.5918,0.048
26.6396,0.042
26.6881,0.044
26.7353,0.086
26.7833,0.094
26.8309,0.042
26.8781,0.049
26.9251,0.047
26.9718,0.055
27.0186,0.044
27.0654,0.043
27.1125,0.053
27.1595,0.051
27.2068,0.043
27.2532,0.051
27.3,0.079
27.347,0.052
27.3941,0.044
27.4417,0.05
27.4893,0.044
27.5372,0.054
27.5838,0.054
27.6312,0.043
27.6782,0.044
27.7249,0.043
27.7716,0.05
27.8186,0.043
27.8652,0.046
27.9119,0.046
27.9601,0.053
28.0066,0.043
28.0531,0.048
28.1,0.044
28.1469,0.043
28.1934,0.045
28.2405,0.072
28.2875,0.049
28.3342,0.058
28.3806,0.071
28.428,0.049
28.4751,0.049
28.5223,0.049
28.5693,0.044
28.6166,0.055
28.6638,0.051
28.7107,0.049
28.7578,0.043
28.8052,0.05
28.852,0.066
28.8989,0.044
28.9458,0.045
28.9926,0.059
29.0394,0.043
29.0863,0.051
29.1326,0.045
29.1794,0.049
29.2264,0.048
29.2738,0.049
29.3206,0.043
29.3686,0.043
29.4168,0.043
29.4633,0.062
29.5102,0.057
29.557,0.071
29.6039,0.05
29.6505,0.054
29.6976,0.052
29.744,0.051
29.7912,0.095
29.8377,0.046
29.8842,0.098
29.9308,0.048
29.9774,0.067
30.0239,0.09
