FrameTime,FPS
0.0006002,1620
0.0005852,1620
0.0005726,1620
0.000647,1620
0.0006826,1620
0.0006454,1620
0.0005811,1620
0.0005387,1620
0.0007329,1620
0.000606,1620
0.0005536,1620
0.0006337,1620
0.0006518,1620
0.0006308,1620
0.0005899,1620
0.000629,1620
0.0006104,1620
0.0005764,1620
0.0005864,1620
0.0005852,1620
0.0008721,1589
0.0006201,1589
0.0005868,1589
0.0005552,1589
0.0005764,1589
0.0005672,1589
0.0005802,1589
0.0005843,1589
0.0005678,1589
0.0006139,1589
0.0005753,1589
0.0006669,1589
0.0006787,1589
0.0005656,1589
0.000591,1589
0.0005663,1589
0.0006419,1589
0.0006865,1589
0.0005809,1589
0.0006027,1589
0.0005621,1589
0.0005373,1589
0.000636,1589
0.0006855,1589
0.0007762,1589
0.0006051,1589
0.0006128,1589
0.000596,1589
0.0006226,1596
0.0006679,1596
0.0006122,1596
0.0006246,1596
0.000628,1596
0.0006586,1596
0.0006795,1596
0.0006292,1596
0.0005939,1596
0.0005901,1596
0.0005857,1596
0.0005532,1596
0.000572,1596
0.0005843,1596
0.0006591,1596
0.0006005,1596
0.0007239,1596
0.000869,1596
0.0006724,1596
0.000598,1596
0.0005616,1596
0.0005845,1596
0.000574,1596
0.0005892,1596
0.0006129,1596
0.0005525,1596
0.0006169,1596
0.0005689,1593
0.0007955,1593
0.0006273,1593
0.0005687,1593
0.0006516,1593
0.0005869,1593
0.0005482,1593
0.0005737,1593
0.0005894,1593
0.0006208,1593
0.0006071,1593
0.000558,1593
0.0006954,1593
0.0005733,1593
0.0006061,1593
0.0006183,1593
0.0006088,1593
0.0005781,1593
0.0005497,1593
0.0005979,1593
0.0006269,1593
0.0006085,1593
0.0005791,1593
0.0006685,1593
0.000645,1593
0.0005976,1593
0.000606,1593
0.000582,1593
0.0005837,1590
0.0005947,1590
0.0005572,1590
0.0005434,1590
0.0005643,1590
0.0005446,1590
0.0005534,1590
0.0006869,1590
0.0006429,1590
0.0006108,1590
0.0005911,1590
0.0005894,1590
0.0005181,1590
0.000714,1590
0.0007601,1590
0.0005549,1590
0.0006132,1590
0.0005916,1590
0.0006707,1590
0.0006624,1590
0.00063,1590
0.0005835,1590
0.0005796,1590
0.000582,1590
0.0006085,1590
0.0006033,1590
0.0006021,1590
0.0005953,1590
0.0005467,1591
0.0006603,1591
0.0006803,1591
0.0006019,1591
0.0005992,1591
0.0005817,1591
0.0006077,1591
0.0006532,1591
0.0005516,1591
0.0005729,1591
0.000546,1591
0.000768,1591
0.0006992,1591
0.0007656,1591
0.0008881,1591
0.0006264,1591
0.0006053,1591
0.0005712,1591
0.0006634,1591
0.0005648,1591
0.0005705,1591
0.0005783,1591
0.0005595,1591
0.0006046,1591
0.0006678,1591
0.0006234,1591
0.0006169,1591
0.0005556,1593
0.0005426,1593
0.000548,1593
0.00065,1593
0.0006327,1593
0.0005942,1593
0.0005854,1593
0.0005663,1593
0.0009243,1593
0.0006764,1593
0.0006075,1593
0.000554,1593
0.0006293,1593
0.000575,1593
0.0005641,1593
0.0005775,1593
0.0005894,1593
0.0005768,1593
0.0005673,1593
0.0005632,1593
0.0008406,1593
0.0006714,1593
0.0006325,1593
0.0006321,1593
0.0005482,1593
0.0005985,1593
0.0005654,1593
0.0005812,1593
0.0005379,1596
0.0006704,1596
0.0005643,1596
0.0006173,1596
0.0006079,1596
0.0005516,1596
0.0006687,1596
0.0006099,1596
0.0005889,1596
0.000649,1596
0.0005964,1596
0.0005775,1596
0.0005656,1596
0.0005573,1596
0.0006949,1596
0.0007731,1596
0.000611,1596
0.0006088,1596
0.0006041,1596
0.0005503,1596
0.000578,1596
0.0005703,1596
0.0005553,1596
0.0005639,1596
0.0006274,1596
0.0005928,1596
0.0006948,1596
0.0005806,1596
0.0006215,1590
0.0005811,1590
0.0005616,1590
0.000569,1590
0.0005691,1590
0.0005694,1590
0.000597,1590
0.0006301,1590
0.0006027,1590
0.0006809,1590
0.0007128,1590
0.0005923,1590
0.0006517,1590
0.0005871,1590
0.0005672,1590
0.0005772,1590
0.0005966,1590
