Time, FPS
3e-07, 0
0.0025251, 797
0.0445517, 377
0.0463478, 377
0.047695, 377
0.0489928, 377
0.0502403, 377
0.0514358, 377
0.0526721, 377
0.0540196, 377
0.0557017, 377
0.056988, 377
0.0583371, 377
0.0595761, 377
0.0608856, 377
0.0621508, 372
0.0633417, 372
0.0645611, 372
0.0657579, 372
0.0669982, 372
0.0684853, 372
0.0698877, 372
0.0710848, 372
0.0723096, 372
0.0735622, 372
0.0747839, 372
0.0760684, 372
0.0772659, 372
0.0784465, 372
0.079676, 366
0.0809024, 366
0.0821457, 366
0.0833678, 366
0.0846202, 366
0.0858631, 366
0.0870382, 366
0.0882898, 366
0.0895484, 366
0.0907731, 366
0.0921581, 366
0.0933898, 366
0.094544, 366
0.0957376, 366
0.0970474, 360
0.0982121, 360
0.0993663, 360
0.100553, 360
0.101782, 360
0.102999, 360
0.104225, 360
0.105431, 360
0.106589, 360
0.107854, 360
0.109089, 360
0.110272, 360
0.111442, 360
0.112719, 360
0.113949, 355
0.11513, 355
0.116489, 355
0.118047, 355
0.119729, 355
0.121106, 355
0.122413, 355
0.123699, 355
0.125067, 355
0.126271, 355
0.127531, 355
0.128739, 355
0.129901, 355
0.13107, 350
0.132289, 350
0.133512, 350
0.134672, 350
0.135833, 350
0.137035, 350
0.138253, 350
0.139436, 350
0.140609, 350
0.141771, 350
0.143025, 350
0.144245, 350
0.145446, 350
0.146595, 350
0.147763, 345
0.149156, 345
0.1504, 345
0.151761, 345
0.152988, 345
0.154146, 345
0.155314, 345
0.156559, 345
0.157748, 345
0.159034, 345
0.160257, 345
0.1615, 345
0.162738, 345
0.16398, 345
0.16529, 340
0.166644, 340
0.167853, 340
0.169025, 340
0.170245, 340
0.171426, 340
0.172829, 340
0.174047, 340
0.175233, 340
0.17649, 340
0.17768, 340
0.178923, 340
0.180313, 340
0.181567, 340
0.182775, 336
0.184028, 336
0.185182, 336
0.186338, 336
0.187605, 336
0.188773, 336
0.190007, 336
0.191164, 336
0.192334, 336
0.19365, 336
0.19492, 336
0.196184, 336
0.197378, 336
0.19865, 336
0.199911, 331
0.201173, 331
0.202449, 331
0.203715, 331
0.20488, 331
0.206033, 331
0.207207, 331
0.208504, 331
0.209738, 331
0.210924, 331
0.212153, 331
0.213346, 331
0.21466, 331
0.215963, 331
0.217151, 327
0.218305, 327
0.219483, 327
0.22079, 327
0.222101, 327
0.22339, 327
0.224661, 327
0.22588, 327
0.227166, 327
0.22854, 327
0.229825, 327
0.231026, 327
0.232288, 327
0.233478, 327
0.234678, 323
0.236009, 323
0.237175, 323
0.238399, 323
0.239617, 323
0.240801, 323
0.242171, 323
0.243343, 323
0.244588, 323
0.245772, 323
0.24697, 323
0.248306, 323
0.249604, 323
0.250818, 323
0.252009, 318
0.253166, 318
0.254388, 318
0.255634, 318
0.256886, 318
0.258105, 318
0.259269, 318
0.260521, 318
0.261696, 318
0.263065, 318
0.264268, 318
0.265424, 318
0.266581, 318
0.267771, 318
0.268931, 315
0.27025, 315
0.271413, 315
0.272605, 315
0.273781, 315
0.274933, 315
0.276331, 315
0.277718, 315
0.278908, 315
0.280126, 315
0.281283, 315
0.282444, 315
0.283752, 315
0.284941, 315
0.286106, 311
0.287257, 311
0.288485, 311
0.289658, 311
0.291014, 311
0.292358, 311
0.2937, 311
0.294951, 311
0.296141, 311
0.297334, 311
0.298563, 311
0.299801, 311
0.301042, 311
0.30219, 311
0.303418, 307
0.304756, 307
0.306097, 307
0.307451, 307
0.308709, 307
0.309888, 307
0.311099, 307
0.312299, 307
0.313457, 307
0.314629, 307
0.315829, 307
0.31707, 307
0.318269, 307
0.31955, 307
0.32075, 303
0.321985, 303
0.323138, 303
0.324364, 303
0.32565, 303
0.326825, 303
0.328014, 303
0.329168, 303
0.330403, 303
0.33168, 303
0.33295, 303
0.334125, 303
0.335272, 303
0.336491, 303
0.337809, 299
0.339007, 299
0.340278, 299
0.34146, 299
0.342703, 299
0.343907, 299
0.345066, 299
0.346418, 299
0.347721, 299
0.34896, 299
0.35011, 299
0.351262, 299
0.352665, 299
0.354034, 299
0.355198, 296
0.356452, 296
0.35769, 296
0.358914, 296
0.360509, 296
0.361834, 296
0.363048, 296
0.364309, 296
0.365569, 296
0.367688, 296
0.368942, 296
0.37014, 296
0.371397, 296
0.372648, 292
0.374425, 292
0.375777, 292
0.377006, 292
0.378231, 292
0.379445, 292
0.380742, 292
0.382036, 292
0.383286, 292
0.384567, 292
0.385886, 292
0.387271, 292
0.388642, 292
0.389817, 289
0.39098, 289
0.392132, 289
0.393307, 289
0.39448, 289
0.395648, 289
0.39681, 289
0.398001, 289
0.399198, 289
0.400367, 289
0.401656, 289
0.402861, 289
0.404121, 289
0.405368, 289
0.406679, 285
0.40808, 285
0.4094, 285
0.41072, 285
0.412034, 285
0.41321, 285
0.414435, 285
0.415791, 285
0.416971, 285
0.418163, 285
0.419348, 285
0.420499, 285
0.421666, 285
0.422899, 285
0.42415, 282
0.42546, 282
0.426645, 282
0.428053, 282
0.429634, 282
0.430844, 282
0.432051, 282
0.433214, 282
0.434377, 282
0.435583, 282
0.436769, 282
0.437943, 282
0.439092, 282
0.440366, 282
0.441548, 279
0.442796, 279
0.444069, 279
0.445258, 279
0.446421, 279
0.447635, 279
0.448788, 279
0.450013, 279
0.451373, 279
0.45256, 279
0.453717, 279
0.454864, 279
0.45602, 279
0.457422, 279
0.458675, 276
0.460073, 276
0.461265, 276
