FrameTime,FPS
0.0006801,1763
0.0006058,1763
0.0005231,1763
0.0005436,1763
0.0005063,1763
0.0005205,1763
0.0005122,1763
0.0005131,1763
0.0005165,1763
0.0006225,1763
0.0006719,1763
0.0005361,1763
0.0005248,1763
0.0005178,1763
0.0005222,1763
0.0005248,1763
0.000513,1763
0.0005115,1763
0.0005049,1763
0.0005258,1763
0.000522,1763
0.0005181,1763
0.0005481,1763
0.0007541,1763
0.0005915,1763
0.0005781,1763
0.0005783,1763
0.0005751,1763
0.0005599,1763
0.0006585,1763
0.0005408,1763
0.0006096,1763
0.0005995,1763
0.0007133,1763
0.0005532,1763
0.0005547,1763
0.0005701,1763
0.0005216,1769
0.0005078,1769
0.0005126,1769
0.0005191,1769
0.0005454,1769
0.000554,1769
0.0005861,1769
0.0006498,1769
0.0006446,1769
0.0006716,1769
0.0006282,1769
0.0006969,1769
0.0006748,1769
0.0005413,1769
0.0005424,1769
0.0005181,1769
0.0005507,1769
0.0005335,1769
0.0005539,1769
0.0005201,1769
0.0005383,1769
0.0005983,1769
0.0005425,1769
0.0005296,1769
0.0005129,1769
0.0005495,1769
0.0005172,1769
0.0005409,1769
0.0005231,1769
0.0005174,1769
0.0005171,1768
0.0005286,1768
0.0005109,1768
0.0006093,1768
0.000627,1768
0.0007004,1768
0.0006075,1768
0.0005857,1768
0.0005812,1768
0.0005481,1768
0.0005477,1768
0.0006197,1768
0.0005295,1768
0.0005083,1768
0.0005082,1768
0.0005677,1768
0.0006409,1768
0.0005632,1768
0.0005733,1768
0.0005443,1768
0.0005123,1768
0.0005152,1768
0.0005557,1768
0.0005117,1768
0.0005235,1768
0.0005175,1768
0.0005462,1768
0.0005541,1768
0.0007451,1768
0.0006342,1768
0.0005862,1764
0.0005746,1764
0.0006852,1764
0.0005456,1764
0.0005352,1764
0.0005407,1764
0.0005206,1764
0.0005147,1764
0.0005771,1764
0.0005701,1764
0.0008137,1764
0.0006878,1764
0.0005969,1764
0.0005674,1764
0.0005833,1764
0.0005496,1764
0.0005328,1764
0.0005324,1764
0.0005114,1764
0.0005119,1764
0.0005115,1764
0.0005105,1764
0.000737,1764
0.0006111,1764
0.0005372,1764
0.0005493,1764
0.0005405,1764
0.0005486,1764
0.0005276,1764
0.0005154,1764
0.0005118,1764
0.0005514,1764
0.0005215,1764
0.0005188,1764
0.0005236,1764
0.0006201,1764
0.0005567,1764
0.0005243,1764
0.0005601,1764
0.0005387,1764
0.0005665,1764
0.0005341,1764
0.0005241,1764
0.0005109,1764
0.0005107,1764
0.0005056,1764
0.0006292,1764
0.0006505,1764
0.0005401,1764
0.0005185,1764
0.0005322,1764
0.0005067,1764
0.0005049,1764
0.0005165,1764
0.0005186,1764
0.0005086,1764
0.0005063,1764
0.0005057,1764
0.0006265,1764
0.0006668,1764
0.0007763,1738
0.0007511,1738
0.0005777,1738
0.0006139,1738
0.0006397,1738
0.0007555,1738
0.0007634,1738
0.0006498,1738
0.0006101,1738
0.0005929,1738
0.0006637,1738
0.0007014,1738
0.0006905,1738
0.0005443,1738
0.0006125,1738
0.0006016,1738
0.0005679,1738
0.0005423,1738
0.0005652,1738
0.0006689,1738
0.0006209,1738
0.0007018,1738
0.0007128,1738
0.0006376,1738
0.0005788,1738
0.0005895,1738
0.000573,1738
0.0005884,1731
0.000615,1731
0.0005827,1731
0.0006513,1731
0.0006448,1731
0.0005786,1731
0.0007349,1731
0.0013839,1731
0.0008095,1731
0.0006926,1731
0.0005813,1731
0.0005478,1731
0.0005389,1731
0.0005299,1731
0.0005266,1731
0.0005278,1731
0.0006333,1731
0.0005738,1731
0.0006412,1731
0.0006008,1731
0.000594,1731
0.0005751,1731
0.0005614,1731
0.000651,1731
0.0005397,1731
0.0005668,1731
0.0005341,1731
0.000664,1718
0.0005501,1718
0.0005241,1718
0.0005475,1718
0.0005174,1718
0.000516,1718
0.000517,1718
0.0005483,1718
0.0005261,1718
0.0005157,1718
0.0005664,1718
0.0005398,1718
0.0005215,1718
0.0005232,1718
0.0005648,1718
0.0005311,1718
0.0005134,1718
0.0005195,1718
0.0005148,1718
0.0005202,1718
0.0005079,1718
0.0005105,1718
0.0005078,1718
0.0005202,1718
0.0005077,1718
0.000506,1718
0.0005181,1718
0.0005428,1718
0.0005236,1718
0.0005055,1718
0.0005772,1718
0.0005445,1718
0.0005193,1728
0.0005766,1728
